mark;Model;Mileage;Year;Car_class;Maximum_power;Drive_unit;Box;Boost_type;Volume;Torque;Maximum_speed;Speed_to_100;Consumption
Mercedes-Benz;GLC;0.0;2020.0;J;245.0;full;automatic;turbocharging;2.0;500.0;231.0;6.5;5.9
Mercedes-Benz;GLC;2580.0;2020.0;J;249.0;full;automatic;turbocharging;2.0;370.0;240.0;6.2;7.4
Mercedes-Benz;GLC;0.0;2020.0;J;194.0;full;automatic;turbocharging;2.0;400.0;215.0;7.9;5.4
Mercedes-Benz;GLC;0.0;2020.0;J;194.0;full;automatic;turbocharging;2.0;400.0;215.0;7.9;5.4
Mercedes-Benz;GLC;15943.0;2019.0;J;194.0;full;automatic;turbocharging;2.0;400.0;215.0;7.9;5.4
Mercedes-Benz;GLC;0.0;2020.0;J;194.0;full;automatic;turbocharging;2.0;400.0;215.0;7.9;5.4
Mercedes-Benz;GLC;30013.0;2019.0;J;194.0;full;automatic;turbocharging;2.0;400.0;215.0;7.9;5.4
Mercedes-Benz;GLC;0.0;2020.0;J;194.0;full;automatic;turbocharging;2.0;400.0;215.0;7.9;5.4
Mercedes-Benz;GLC;34800.0;2019.0;J;194.0;full;automatic;turbocharging;2.0;400.0;215.0;7.9;5.4
Mercedes-Benz;GLC;0.0;2020.0;J;249.0;full;automatic;turbocharging;2.0;370.0;240.0;6.2;7.4
Mercedes-Benz;GLC;0.0;2020.0;J;194.0;full;automatic;turbocharging;2.0;400.0;215.0;7.9;5.4
Mercedes-Benz;GLE;0.0;2020.0;J;245.0;full;automatic;turbocharging;2.0;500.0;225.0;7.2;6.4
Mercedes-Benz;GLE;2800.0;2020.0;J;245.0;full;automatic;turbocharging;2.0;500.0;225.0;7.2;6.4
Mercedes-Benz;GLE;0.0;2020.0;J;330.0;full;automatic;turbocharging;2.9;700.0;245.0;5.7;7.5
Mercedes-Benz;GLE;21000.0;2019.0;J;367.0;full;automatic;turbocharging;3.0;500.0;250.0;5.7;9.4
Mercedes-Benz;GLE;0.0;2020.0;J;330.0;full;automatic;turbocharging;2.9;700.0;245.0;5.7;7.5
Mercedes-Benz;GLE;12130.0;2019.0;J;245.0;full;automatic;turbocharging;2.0;500.0;225.0;7.2;6.4
Mercedes-Benz;GLE;0.0;2020.0;J;330.0;full;automatic;turbocharging;2.9;700.0;245.0;5.7;7.5
Mercedes-Benz;GLE;0.0;2020.0;J;367.0;full;automatic;turbocharging;3.0;500.0;250.0;5.7;9.4
Mercedes-Benz;GLE;0.0;2020.0;J;330.0;full;automatic;turbocharging;2.9;700.0;245.0;5.7;7.5
Mercedes-Benz;GLE;17384.0;2019.0;J;330.0;full;automatic;turbocharging;2.9;700.0;245.0;5.7;7.5
Mercedes-Benz;GLE;0.0;2020.0;J;367.0;full;automatic;turbocharging;3.0;500.0;250.0;5.7;9.4
Mercedes-Benz;GLE;43455.0;2019.0;J;330.0;full;automatic;turbocharging;2.9;700.0;245.0;5.7;7.5
Mercedes-Benz;GLE;0.0;2020.0;J;245.0;full;automatic;turbocharging;2.0;500.0;225.0;7.2;6.4
Mercedes-Benz;GLE Coupe;0.0;2020.0;J;249.0;full;automatic;turbocharging;2.9;600.0;226.0;6.6;8.0
Mercedes-Benz;GLE Coupe;0.0;2020.0;J;249.0;full;automatic;turbocharging;2.9;600.0;226.0;6.6;8.0
Mercedes-Benz;GLE Coupe;9.0;2020.0;J;330.0;full;automatic;turbocharging;2.9;700.0;240.0;5.7;8.0
Mercedes-Benz;GLE Coupe;0.0;2020.0;J;330.0;full;automatic;turbocharging;2.9;700.0;240.0;5.7;8.0
Mercedes-Benz;GLE Coupe;0.0;2020.0;J;330.0;full;automatic;turbocharging;2.9;700.0;240.0;5.7;8.0
Mercedes-Benz;GLE Coupe;1280.0;2020.0;J;249.0;full;automatic;turbocharging;2.9;600.0;226.0;6.6;8.0
Mercedes-Benz;GLE Coupe;0.0;2020.0;J;249.0;full;automatic;turbocharging;2.9;600.0;226.0;6.6;8.0
Mercedes-Benz;GLE Coupe;1900.0;2020.0;J;249.0;full;automatic;turbocharging;2.9;600.0;226.0;6.6;8.0
Mercedes-Benz;GLE Coupe;0.0;2020.0;J;367.0;full;automatic;turbocharging;3.0;500.0;250.0;5.7;9.0
Mercedes-Benz;GLE Coupe;17.0;2020.0;J;249.0;full;automatic;turbocharging;2.9;600.0;226.0;6.6;8.0
Mercedes-Benz;GLE Coupe;0.0;2020.0;J;249.0;full;automatic;turbocharging;2.9;600.0;226.0;6.6;8.0
Mercedes-Benz;GLE Coupe;0.0;2020.0;J;249.0;full;automatic;turbocharging;2.9;600.0;226.0;6.6;8.0
Mercedes-Benz;G-Class AMG;14200.0;2019.0;J;585.0;full;automatic;turbocharging;4.0;850.0;220.0;4.5;13.3
Mercedes-Benz;G-Class AMG;0.0;2020.0;J;585.0;full;automatic;turbocharging;4.0;850.0;220.0;4.5;13.3
Mercedes-Benz;G-Class AMG;0.0;2020.0;J;585.0;full;automatic;turbocharging;4.0;850.0;220.0;4.5;13.3
Mercedes-Benz;G-Class AMG;8000.0;2020.0;J;585.0;full;automatic;turbocharging;4.0;850.0;220.0;4.5;13.3
Mercedes-Benz;G-Class AMG;0.0;2020.0;J;585.0;full;automatic;turbocharging;4.0;850.0;220.0;4.5;13.3
Mercedes-Benz;G-Class AMG;11100.0;2020.0;J;585.0;full;automatic;turbocharging;4.0;850.0;220.0;4.5;13.3
Mercedes-Benz;G-Class AMG;0.0;2020.0;J;585.0;full;automatic;turbocharging;4.0;850.0;220.0;4.5;13.3
Mercedes-Benz;G-Class AMG;12735.0;2018.0;J;585.0;full;automatic;turbocharging;4.0;850.0;220.0;4.5;13.3
Mercedes-Benz;G-Class AMG;0.0;2020.0;J;585.0;full;automatic;turbocharging;4.0;850.0;220.0;4.5;13.3
Mercedes-Benz;G-Class AMG;21.0;2020.0;J;585.0;full;automatic;turbocharging;4.0;850.0;220.0;4.5;13.3
Mercedes-Benz;G-Class AMG;0.0;2020.0;J;585.0;full;automatic;turbocharging;4.0;850.0;220.0;4.5;13.3
Mercedes-Benz;G-Class AMG;0.0;2020.0;J;585.0;full;automatic;turbocharging;4.0;850.0;220.0;4.5;13.3
Mercedes-Benz;G-Class AMG;28000.0;2019.0;J;585.0;full;automatic;turbocharging;4.0;850.0;220.0;4.5;13.3
Mitsubishi;Outlander;0.0;2020.0;J;146.0;front;variator;no;2.0;196.0;193.0;11.4;7.5
Mitsubishi;Outlander;0.0;2020.0;J;146.0;full;variator;no;2.0;196.0;188.0;12.0;7.7
Mitsubishi;Outlander;0.0;2020.0;J;146.0;front;variator;no;2.0;196.0;193.0;11.4;7.5
Mitsubishi;Outlander;43538.0;2018.0;J;146.0;front;variator;no;2.0;196.0;193.0;11.4;7.5
Mitsubishi;Outlander;0.0;2020.0;J;146.0;front;variator;no;2.0;196.0;193.0;11.4;7.5
Mitsubishi;Outlander;0.0;2020.0;J;146.0;front;variator;no;2.0;196.0;193.0;11.4;7.5
Mitsubishi;Outlander;35049.0;2018.0;J;167.0;full;variator;no;2.4;222.0;198.0;10.5;7.8
Mitsubishi;Outlander;0.0;2020.0;J;146.0;front;variator;no;2.0;196.0;193.0;11.4;7.5
Mitsubishi;Outlander;0.0;2020.0;J;146.0;front;variator;no;2.0;196.0;193.0;11.4;7.5
Mitsubishi;Outlander;12123.0;2019.0;J;146.0;full;variator;no;2.0;196.0;188.0;12.0;7.7
Mitsubishi;Outlander;0.0;2020.0;J;146.0;full;variator;no;2.0;196.0;188.0;12.0;7.7
Mitsubishi;Outlander;0.0;2020.0;J;146.0;full;variator;no;2.0;196.0;188.0;12.0;7.7
Mitsubishi;Outlander;0.0;2020.0;J;167.0;full;variator;no;2.4;222.0;198.0;10.5;7.8
Mitsubishi;Outlander;0.0;2020.0;J;146.0;front;variator;no;2.0;196.0;193.0;11.4;7.5
Mitsubishi;Outlander;15678.0;2018.0;J;146.0;full;variator;no;2.0;196.0;188.0;12.0;7.7
Mitsubishi;Outlander;0.0;2020.0;J;146.0;front;variator;no;2.0;196.0;193.0;11.4;7.5
Mitsubishi;Outlander;0.0;2020.0;J;146.0;full;variator;no;2.0;196.0;188.0;12.0;7.7
Mitsubishi;Outlander;0.0;2020.0;J;146.0;front;variator;no;2.0;196.0;193.0;11.4;7.5
Mitsubishi;Outlander;0.0;2020.0;J;146.0;front;variator;no;2.0;196.0;193.0;11.4;7.5
Mitsubishi;Outlander;0.0;2020.0;J;146.0;front;variator;no;2.0;196.0;193.0;11.4;7.5
Mitsubishi;Outlander;0.0;2020.0;J;146.0;front;variator;no;2.0;196.0;193.0;11.4;7.5
Audi;Q7;0.0;2020.0;J;249.0;full;automatic;turbocharging;3.0;600.0;225.0;6.9;8.0
Audi;Q7;0.0;2020.0;J;249.0;full;automatic;turbocharging;3.0;600.0;225.0;6.9;8.0
Audi;Q7;0.0;2020.0;J;249.0;full;automatic;turbocharging;3.0;600.0;225.0;6.9;8.0
Audi;Q7;13000.0;2019.0;J;249.0;full;automatic;turbocharging;3.0;600.0;225.0;6.9;8.0
Audi;Q7;0.0;2020.0;J;249.0;full;automatic;turbocharging;3.0;600.0;225.0;6.9;8.0
Audi;Q7;0.0;2020.0;J;249.0;full;automatic;turbocharging;3.0;600.0;225.0;6.9;8.0
Audi;Q7;0.0;2020.0;J;249.0;full;automatic;turbocharging;3.0;600.0;225.0;6.9;8.0
Audi;Q7;0.0;2020.0;J;249.0;full;automatic;turbocharging;3.0;600.0;225.0;6.9;8.0
Audi;Q7;1725.0;2020.0;J;249.0;full;automatic;turbocharging;3.0;600.0;225.0;6.9;8.0
Audi;Q7;0.0;2020.0;J;249.0;full;automatic;turbocharging;3.0;600.0;225.0;6.9;8.0
Audi;Q7;0.0;2020.0;J;249.0;full;automatic;turbocharging;3.0;600.0;225.0;6.9;8.0
Audi;Q7;5248.0;2020.0;J;249.0;full;automatic;turbocharging;3.0;600.0;225.0;6.9;8.0
Audi;Q7;0.0;2020.0;J;249.0;full;automatic;turbocharging;3.0;600.0;225.0;6.9;8.0
Audi;Q7;0.0;2020.0;J;249.0;full;automatic;turbocharging;3.0;600.0;225.0;6.9;8.0
Audi;Q7;13400.0;2019.0;J;249.0;full;automatic;turbocharging;3.0;600.0;225.0;6.9;8.0
Audi;Q7;500.0;2020.0;J;249.0;full;automatic;turbocharging;3.0;600.0;225.0;6.9;8.0
Volkswagen;Multivan;0.0;2020.0;M;199.0;full;robot;turbocharging;2.0;450.0;198.0;10.3;7.5
Volkswagen;Multivan;0.0;2020.0;M;150.0;full;robot;turbocharging;2.0;340.0;179.0;13.5;7.7
Volkswagen;Multivan;69.0;2020.0;M;199.0;full;robot;turbocharging;2.0;450.0;198.0;10.3;7.5
Volkswagen;Multivan;0.0;2020.0;M;150.0;full;robot;turbocharging;2.0;340.0;179.0;13.5;7.7
Volkswagen;Multivan;0.0;2020.0;M;150.0;full;robot;turbocharging;2.0;340.0;179.0;13.5;7.7
Volkswagen;Multivan;0.0;2020.0;M;150.0;full;robot;turbocharging;2.0;340.0;179.0;13.5;7.7
Volkswagen;Multivan;0.0;2020.0;M;150.0;front;mechanics;turbocharging;2.0;340.0;183.0;12.9;6.8
Volkswagen;Multivan;0.0;2020.0;M;150.0;full;robot;turbocharging;2.0;340.0;179.0;13.5;7.7
Volkswagen;Multivan;0.0;2020.0;M;150.0;full;robot;turbocharging;2.0;340.0;179.0;13.5;7.7
Volkswagen;Multivan;0.0;2020.0;M;150.0;full;robot;turbocharging;2.0;340.0;179.0;13.5;7.7
Volkswagen;Multivan;0.0;2020.0;M;199.0;full;robot;turbocharging;2.0;450.0;198.0;10.3;7.5
Volkswagen;Multivan;0.0;2020.0;M;199.0;full;robot;turbocharging;2.0;450.0;198.0;10.3;7.5
Volkswagen;Multivan;0.0;2020.0;M;199.0;full;robot;turbocharging;2.0;450.0;198.0;10.3;7.5
Volkswagen;Multivan;0.0;2020.0;M;199.0;full;robot;turbocharging;2.0;450.0;198.0;10.3;7.5
Volkswagen;Multivan;0.0;2020.0;M;199.0;full;robot;turbocharging;2.0;450.0;198.0;10.3;7.5
Jaguar;F-Pace;0.0;2020.0;J;249.0;full;automatic;turbocharging;2.0;365.0;217.0;6.8;7.4
Jaguar;F-Pace;95344.0;2017.0;J;180.0;full;automatic;turbocharging;2.0;430.0;208.0;8.7;5.3
Jaguar;F-Pace;102857.0;2016.0;J;180.0;full;automatic;turbocharging;2.0;430.0;208.0;8.7;5.3
Jaguar;F-Pace;7660.0;2016.0;J;180.0;full;automatic;turbocharging;2.0;430.0;208.0;8.7;5.3
Jaguar;F-Pace;85638.0;2016.0;J;300.0;full;automatic;turbocharging;3.0;700.0;241.0;6.2;6.0
Jaguar;F-Pace;19500.0;2018.0;J;380.0;full;automatic;turbocharging;3.0;450.0;250.0;5.5;8.9
Jaguar;F-Pace;0.0;2020.0;J;249.0;full;automatic;turbocharging;2.0;365.0;217.0;6.8;7.4
Jaguar;F-Pace;45647.0;2017.0;J;180.0;full;automatic;turbocharging;2.0;430.0;208.0;8.7;5.3
Jaguar;F-Pace;0.0;2020.0;J;249.0;full;automatic;turbocharging;2.0;365.0;217.0;6.8;7.4
Jaguar;F-Pace;87440.0;2016.0;J;380.0;full;automatic;turbocharging;3.0;450.0;250.0;5.5;8.9
Jaguar;F-Pace;63353.0;2016.0;J;180.0;full;automatic;turbocharging;2.0;430.0;208.0;8.7;5.3
Jaguar;F-Pace;30300.0;2018.0;J;180.0;full;automatic;turbocharging;2.0;430.0;208.0;8.7;5.3
Jaguar;F-Pace;12774.0;2019.0;J;249.0;full;automatic;turbocharging;2.0;365.0;217.0;6.8;7.4
Jaguar;F-Pace;31281.0;2016.0;J;300.0;full;automatic;turbocharging;3.0;700.0;241.0;6.2;6.0
Jaguar;F-Pace;0.0;2020.0;J;240.0;full;automatic;turbocharging;2.0;500.0;217.0;7.2;5.8
Volkswagen;Caravelle;0.0;2020.0;M;199.0;full;robot;turbocharging;2.0;450.0;187.0;10.2;7.4
Volkswagen;Caravelle;0.0;2020.0;M;199.0;full;robot;turbocharging;2.0;450.0;187.0;10.2;7.4
Volkswagen;Caravelle;29256.0;2020.0;M;150.0;full;robot;turbocharging;2.0;340.0;169.0;13.0;7.4
Volkswagen;Caravelle;0.0;2020.0;M;199.0;full;robot;turbocharging;2.0;450.0;187.0;10.2;7.4
Volkswagen;Caravelle;0.0;2020.0;M;150.0;full;robot;turbocharging;2.0;340.0;169.0;13.0;7.4
Volkswagen;Caravelle;0.0;2020.0;M;199.0;full;robot;turbocharging;2.0;450.0;187.0;10.2;7.4
Volkswagen;Caravelle;0.0;2020.0;M;199.0;full;robot;turbocharging;2.0;450.0;187.0;10.2;7.4
Volkswagen;Caravelle;0.0;2020.0;M;199.0;full;robot;turbocharging;2.0;450.0;187.0;10.2;7.4
Volkswagen;Caravelle;0.0;2020.0;M;150.0;full;robot;turbocharging;2.0;340.0;169.0;13.0;7.4
Volkswagen;Caravelle;0.0;2020.0;M;150.0;full;robot;turbocharging;2.0;340.0;169.0;13.0;7.4
Volkswagen;Caravelle;0.0;2020.0;M;199.0;full;robot;turbocharging;2.0;450.0;187.0;10.2;7.4
Volkswagen;Caravelle;0.0;2020.0;M;150.0;full;robot;turbocharging;2.0;340.0;169.0;13.0;7.4
Volkswagen;Caravelle;0.0;2020.0;M;199.0;full;robot;turbocharging;2.0;450.0;187.0;10.2;7.4
Volkswagen;Caravelle;0.0;2020.0;M;199.0;full;robot;turbocharging;2.0;450.0;187.0;10.2;7.4
Nissan;Qashqai;7000.0;2019.0;J;144.0;full;variator;no;2.0;200.0;182.0;10.5;7.3
Nissan;Qashqai;0.0;2020.0;J;144.0;front;variator;no;2.0;200.0;184.0;10.1;7.0
Nissan;Qashqai;0.0;2020.0;J;144.0;full;variator;no;2.0;200.0;182.0;10.5;7.3
Nissan;Qashqai;0.0;2020.0;J;144.0;front;mechanics;no;2.0;200.0;194.0;9.9;7.7
Nissan;Qashqai;0.0;2020.0;J;144.0;full;variator;no;2.0;200.0;182.0;10.5;7.3
Nissan;Qashqai;20200.0;2019.0;J;144.0;front;variator;no;2.0;200.0;184.0;10.1;7.0
Nissan;Qashqai;0.0;2020.0;J;144.0;front;mechanics;no;2.0;200.0;194.0;9.9;7.7
Nissan;Qashqai;6065.0;2020.0;J;144.0;full;variator;no;2.0;200.0;182.0;10.5;7.3
Nissan;Qashqai;0.0;2020.0;J;144.0;full;variator;no;2.0;200.0;182.0;10.5;7.3
Nissan;Qashqai;13987.0;2020.0;J;144.0;front;variator;no;2.0;200.0;184.0;10.1;7.0
Nissan;Qashqai;0.0;2020.0;J;144.0;front;mechanics;no;2.0;200.0;194.0;9.9;7.7
Nissan;Qashqai;0.0;2020.0;J;115.0;front;mechanics;turbocharging;1.2;190.0;185.0;10.9;6.2
Nissan;Qashqai;40404.0;2019.0;J;144.0;full;variator;no;2.0;200.0;182.0;10.5;7.3
Nissan;Qashqai;0.0;2020.0;J;144.0;front;variator;no;2.0;200.0;184.0;10.1;7.0
Nissan;Qashqai;0.0;2020.0;J;144.0;front;mechanics;no;2.0;200.0;194.0;9.9;7.7
Nissan;Qashqai;0.0;2020.0;J;144.0;front;mechanics;no;2.0;200.0;194.0;9.9;7.7
Nissan;Qashqai;0.0;2020.0;J;144.0;front;mechanics;no;2.0;200.0;194.0;9.9;7.7
Nissan;Qashqai;0.0;2020.0;J;144.0;front;variator;no;2.0;200.0;184.0;10.1;7.0
Nissan;Qashqai;0.0;2020.0;J;144.0;front;variator;no;2.0;200.0;184.0;10.1;7.0
Nissan;Qashqai;0.0;2020.0;J;144.0;front;variator;no;2.0;200.0;184.0;10.1;7.0
Nissan;Qashqai;0.0;2020.0;J;144.0;front;variator;no;2.0;200.0;184.0;10.1;7.0
Nissan;Qashqai;0.0;2020.0;J;144.0;front;variator;no;2.0;200.0;184.0;10.1;7.0
Audi;A4;0.0;2020.0;D;150.0;front;robot;turbocharging;2.0;270.0;225.0;8.9;6.0
Audi;A4;0.0;2020.0;D;150.0;front;robot;turbocharging;2.0;270.0;225.0;8.9;6.0
Audi;A4;0.0;2020.0;D;190.0;front;robot;turbocharging;2.0;320.0;241.0;7.3;6.0
Audi;A4;0.0;2020.0;D;150.0;front;robot;turbocharging;2.0;270.0;225.0;8.9;6.0
Audi;A4;0.0;2020.0;D;150.0;front;robot;turbocharging;2.0;270.0;225.0;8.9;6.0
Audi;A4;3900.0;2020.0;D;150.0;front;robot;turbocharging;2.0;270.0;225.0;8.9;6.0
Audi;A4;0.0;2020.0;D;190.0;front;robot;turbocharging;2.0;320.0;241.0;7.3;6.0
Audi;A4;0.0;2020.0;D;190.0;front;robot;turbocharging;2.0;320.0;241.0;7.3;6.0
Audi;A4;0.0;2020.0;D;190.0;front;robot;turbocharging;2.0;320.0;241.0;7.3;6.0
Audi;A4;0.0;2020.0;D;150.0;front;robot;turbocharging;2.0;270.0;225.0;8.9;6.0
Audi;A4;0.0;2020.0;D;150.0;front;robot;turbocharging;2.0;270.0;225.0;8.9;6.0
Audi;A4;0.0;2020.0;D;150.0;front;robot;turbocharging;2.0;270.0;225.0;8.9;6.0
Audi;A4;0.0;2020.0;D;190.0;front;robot;turbocharging;2.0;320.0;241.0;7.3;6.0
Audi;A4;0.0;2020.0;D;190.0;front;robot;turbocharging;2.0;320.0;241.0;7.3;6.0
Audi;A4;0.0;2020.0;D;190.0;front;robot;turbocharging;2.0;320.0;241.0;7.3;6.0
Audi;A4;0.0;2020.0;D;190.0;front;robot;turbocharging;2.0;320.0;241.0;7.3;6.0
Audi;A4;0.0;2020.0;D;190.0;front;robot;turbocharging;2.0;320.0;241.0;7.3;6.0
Audi;A4;0.0;2020.0;D;150.0;front;robot;turbocharging;2.0;270.0;225.0;8.9;6.0
Nissan;X-Trail;0.0;2020.0;J;144.0;full;variator;no;2.0;200.0;180.0;12.1;7.5
Nissan;X-Trail;21900.0;2019.0;J;144.0;full;variator;no;2.0;200.0;180.0;12.1;7.5
Nissan;X-Trail;0.0;2020.0;J;144.0;full;variator;no;2.0;200.0;180.0;12.1;7.5
Nissan;X-Trail;9500.0;2020.0;J;171.0;full;variator;no;2.5;233.0;190.0;10.5;8.3
Nissan;X-Trail;0.0;2020.0;J;171.0;full;variator;no;2.5;233.0;190.0;10.5;8.3
Nissan;X-Trail;0.0;2020.0;J;144.0;front;mechanics;no;2.0;200.0;183.0;11.1;8.3
Nissan;X-Trail;0.0;2020.0;J;171.0;full;variator;no;2.5;233.0;190.0;10.5;8.3
Nissan;X-Trail;6900.0;2020.0;J;144.0;front;variator;no;2.0;200.0;183.0;11.7;7.1
Nissan;X-Trail;0.0;2020.0;J;171.0;full;variator;no;2.5;233.0;190.0;10.5;8.3
Nissan;X-Trail;0.0;2020.0;J;171.0;full;variator;no;2.5;233.0;190.0;10.5;8.3
Nissan;X-Trail;0.0;2020.0;J;144.0;front;variator;no;2.0;200.0;183.0;11.7;7.1
Nissan;X-Trail;5951.0;2018.0;J;144.0;full;variator;no;2.0;200.0;180.0;12.1;7.5
Nissan;X-Trail;12665.0;2019.0;J;144.0;full;variator;no;2.0;200.0;180.0;12.1;7.5
Nissan;X-Trail;0.0;2020.0;J;130.0;full;mechanics;turbocharging;1.6;320.0;186.0;11.0;5.3
Nissan;X-Trail;0.0;2020.0;J;144.0;full;variator;no;2.0;200.0;180.0;12.1;7.5
Nissan;X-Trail;0.0;2020.0;J;144.0;full;variator;no;2.0;200.0;180.0;12.1;7.5
Nissan;X-Trail;0.0;2020.0;J;144.0;front;variator;no;2.0;200.0;183.0;11.7;7.1
Nissan;X-Trail;0.0;2020.0;J;144.0;full;variator;no;2.0;200.0;180.0;12.1;7.5
Nissan;X-Trail;0.0;2020.0;J;171.0;full;variator;no;2.5;233.0;190.0;10.5;8.3
Nissan;X-Trail;0.0;2020.0;J;144.0;full;variator;no;2.0;200.0;180.0;12.1;7.5
Nissan;X-Trail;0.0;2020.0;J;171.0;full;variator;no;2.5;233.0;190.0;10.5;8.3
Nissan;X-Trail;8000.0;2019.0;J;144.0;full;variator;no;2.0;200.0;180.0;12.1;7.5
Nissan;X-Trail;0.0;2020.0;J;171.0;full;variator;no;2.5;233.0;190.0;10.5;8.3
Nissan;X-Trail;0.0;2020.0;J;171.0;full;variator;no;2.5;233.0;190.0;10.5;8.3
Infiniti;QX60;0.0;2020.0;J;262.0;full;variator;no;3.5;334.0;190.0;8.4;10.7
Infiniti;QX60;0.0;2020.0;J;262.0;full;variator;no;3.5;334.0;190.0;8.4;10.7
Infiniti;QX60;0.0;2020.0;J;262.0;full;variator;no;3.5;334.0;190.0;8.4;10.7
Infiniti;QX60;4096.0;2019.0;J;283.0;full;variator;no;3.5;350.0;190.0;8.2;10.5
Infiniti;QX60;25831.0;2018.0;J;262.0;full;variator;no;3.5;334.0;190.0;8.4;10.7
Infiniti;QX60;0.0;2020.0;J;283.0;full;variator;no;3.5;350.0;190.0;8.2;10.5
Infiniti;QX60;0.0;2020.0;J;283.0;full;variator;no;3.5;350.0;190.0;8.2;10.5
Infiniti;QX60;85408.0;2017.0;J;262.0;full;variator;no;3.5;334.0;190.0;8.4;10.7
Infiniti;QX60;0.0;2020.0;J;283.0;full;variator;no;3.5;350.0;190.0;8.2;10.5
Infiniti;QX60;0.0;2020.0;J;283.0;full;variator;no;3.5;350.0;190.0;8.2;10.5
Infiniti;QX60;0.0;2020.0;J;283.0;full;variator;no;3.5;350.0;190.0;8.2;10.5
Infiniti;QX60;0.0;2020.0;J;283.0;full;variator;no;3.5;350.0;190.0;8.2;10.5
Infiniti;QX60;24000.0;2018.0;J;262.0;full;variator;no;3.5;334.0;190.0;8.4;10.7
Infiniti;QX60;0.0;2020.0;J;283.0;full;variator;no;3.5;350.0;190.0;8.2;10.5
Infiniti;QX60;62300.0;2018.0;J;262.0;full;variator;no;3.5;334.0;190.0;8.4;10.7
Infiniti;QX50;12322.0;2019.0;J;249.0;full;variator;turbocharging;2.0;380.0;220.0;7.3;8.6
Infiniti;QX50;10900.0;2019.0;J;249.0;full;variator;turbocharging;2.0;380.0;220.0;7.3;8.6
Infiniti;QX50;0.0;2020.0;J;249.0;full;variator;turbocharging;2.0;380.0;220.0;7.3;8.6
Infiniti;QX50;0.0;2020.0;J;249.0;full;variator;turbocharging;2.0;380.0;220.0;7.3;8.6
Infiniti;QX50;30210.0;2018.0;J;249.0;full;variator;turbocharging;2.0;380.0;220.0;7.3;8.6
Infiniti;QX50;0.0;2020.0;J;249.0;full;variator;turbocharging;2.0;380.0;220.0;7.3;8.6
Infiniti;QX50;0.0;2020.0;J;249.0;full;variator;turbocharging;2.0;380.0;220.0;7.3;8.6
Infiniti;QX50;26500.0;2018.0;J;249.0;full;variator;turbocharging;2.0;380.0;220.0;7.3;8.6
Infiniti;QX50;0.0;2020.0;J;249.0;full;variator;turbocharging;2.0;380.0;220.0;7.3;8.6
Infiniti;QX50;0.0;2020.0;J;249.0;full;variator;turbocharging;2.0;380.0;220.0;7.3;8.6
Infiniti;QX50;33500.0;2018.0;J;249.0;full;variator;turbocharging;2.0;380.0;220.0;7.3;8.6
Infiniti;QX50;0.0;2020.0;J;249.0;full;variator;turbocharging;2.0;380.0;220.0;7.3;8.6
Infiniti;QX50;0.0;2020.0;J;249.0;full;variator;turbocharging;2.0;380.0;220.0;7.3;8.6
Skoda;Karoq;0.0;2020.0;J;150.0;full;robot;turbocharging;1.4;250.0;193.0;8.9;0.0
Skoda;Karoq;0.0;2020.0;J;150.0;full;robot;turbocharging;1.4;250.0;193.0;8.9;0.0
Skoda;Karoq;0.0;2020.0;J;150.0;full;robot;turbocharging;1.4;250.0;193.0;8.9;0.0
