mark,Box,Drive_unit,Country,Color,Mileage,Year,Car_type,Model,Maximum_power,Maximum_speed,Consumption,Price
Mercedes-Benz,automatic,full,German,black,0.0,2020.0,SUV,GLE Coupe,330.0,240.0,8.0,8099000.0
Mercedes-Benz,automatic,full,German,red,1280.0,2020.0,SUV,GLE Coupe,249.0,226.0,8.0,8097000.0
Mercedes-Benz,automatic,full,German,green,0.0,2020.0,SUV,GLE Coupe,249.0,226.0,8.0,8128200.0
Mercedes-Benz,automatic,full,German,white,1900.0,2020.0,SUV,GLE Coupe,249.0,226.0,8.0,7450000.0
Mercedes-Benz,automatic,full,German,black,0.0,2020.0,SUV,GLE Coupe,367.0,250.0,9.0,8050000.0
Mercedes-Benz,automatic,full,German,black,17.0,2020.0,SUV,GLE Coupe,249.0,226.0,8.0,7400000.0
Mercedes-Benz,automatic,full,German,blue,0.0,2020.0,SUV,GLE Coupe,249.0,226.0,8.0,8158200.0
Mercedes-Benz,automatic,full,German,gray,0.0,2020.0,SUV,GLE Coupe,249.0,226.0,8.0,8517000.0
Mercedes-Benz,automatic,full,German,white,14200.0,2019.0,SUV,G-Class AMG,585.0,220.0,13.3,18350000.0
Mercedes-Benz,automatic,full,German,black,0.0,2020.0,SUV,G-Class AMG,585.0,220.0,13.3,19300000.0
Mercedes-Benz,automatic,full,German,black,0.0,2020.0,SUV,G-Class AMG,585.0,220.0,13.3,21328900.0
Mercedes-Benz,automatic,full,German,white,8000.0,2020.0,SUV,G-Class AMG,585.0,220.0,13.3,20000000.0
Mercedes-Benz,automatic,full,German,black,0.0,2020.0,SUV,G-Class AMG,585.0,220.0,13.3,28300000.0
Mercedes-Benz,automatic,full,German,black,11100.0,2020.0,SUV,G-Class AMG,585.0,220.0,13.3,16900000.0
Mercedes-Benz,automatic,full,German,black,0.0,2020.0,SUV,G-Class AMG,585.0,220.0,13.3,28900000.0
Mercedes-Benz,automatic,full,German,black,12735.0,2018.0,SUV,G-Class AMG,585.0,220.0,13.3,17400000.0
Mercedes-Benz,automatic,full,German,black,0.0,2020.0,SUV,G-Class AMG,585.0,220.0,13.3,22345600.0
Mercedes-Benz,automatic,full,German,black,21.0,2020.0,SUV,G-Class AMG,585.0,220.0,13.3,18300000.0
Mercedes-Benz,automatic,full,German,red,0.0,2020.0,SUV,G-Class AMG,585.0,220.0,13.3,23777872.0
Mercedes-Benz,automatic,full,German,black,0.0,2020.0,SUV,G-Class AMG,585.0,220.0,13.3,22470800.0
Mercedes-Benz,automatic,full,German,black,28000.0,2019.0,SUV,G-Class AMG,585.0,220.0,13.3,17300000.0
Mitsubishi,variator,front,Japan,white,0.0,2020.0,SUV,Outlander,146.0,193.0,7.5,1584000.0
Mitsubishi,variator,full,Japan,white,0.0,2020.0,SUV,Outlander,146.0,188.0,7.7,1519000.0
Mitsubishi,variator,front,Japan,black,0.0,2020.0,SUV,Outlander,146.0,193.0,7.5,1830000.0
Mitsubishi,variator,front,Japan,silver,43538.0,2018.0,SUV,Outlander,146.0,193.0,7.5,1500000.0
Mitsubishi,variator,front,Japan,brown,0.0,2020.0,SUV,Outlander,146.0,193.0,7.5,1206000.0
Mitsubishi,variator,front,Japan,silver,0.0,2020.0,SUV,Outlander,146.0,193.0,7.5,1205800.0
Mitsubishi,variator,full,Japan,white,35049.0,2018.0,SUV,Outlander,167.0,198.0,7.8,1749000.0
Mitsubishi,variator,front,Japan,gray,0.0,2020.0,SUV,Outlander,146.0,193.0,7.5,1205800.0
Mitsubishi,variator,front,Japan,black,0.0,2020.0,SUV,Outlander,146.0,193.0,7.5,1205800.0
Mitsubishi,variator,full,Japan,white,12123.0,2019.0,SUV,Outlander,146.0,188.0,7.7,1976000.0
Mitsubishi,variator,full,Japan,white,0.0,2020.0,SUV,Outlander,146.0,188.0,7.7,1655500.0
Mitsubishi,variator,full,Japan,blue,0.0,2020.0,SUV,Outlander,146.0,188.0,7.7,1610500.0
Mitsubishi,variator,full,Japan,blue,0.0,2020.0,SUV,Outlander,167.0,198.0,7.8,1950000.0
Mitsubishi,variator,front,Japan,white,0.0,2020.0,SUV,Outlander,146.0,193.0,7.5,1216500.0
Mitsubishi,variator,full,Japan,silver,15678.0,2018.0,SUV,Outlander,146.0,188.0,7.7,1895000.0
Mitsubishi,variator,front,Japan,black,0.0,2020.0,SUV,Outlander,146.0,193.0,7.5,1200000.0
Mitsubishi,variator,full,Japan,blue,0.0,2020.0,SUV,Outlander,146.0,188.0,7.7,1410000.0
Mitsubishi,variator,front,Japan,brown,0.0,2020.0,SUV,Outlander,146.0,193.0,7.5,1205800.0
Mitsubishi,variator,front,Japan,white,0.0,2020.0,SUV,Outlander,146.0,193.0,7.5,1209000.0
Mitsubishi,variator,front,Japan,gray,0.0,2020.0,SUV,Outlander,146.0,193.0,7.5,1715000.0
Mitsubishi,variator,front,Japan,silver,0.0,2020.0,SUV,Outlander,146.0,193.0,7.5,1230000.0
Audi,automatic,full,German,white,0.0,2020.0,SUV,Q7,249.0,225.0,8.0,6199000.0
Audi,automatic,full,German,brown,0.0,2020.0,SUV,Q7,249.0,225.0,8.0,5490000.0
Audi,automatic,full,German,blue,0.0,2020.0,SUV,Q7,249.0,225.0,8.0,5490000.0
Audi,automatic,full,German,gray,13000.0,2019.0,SUV,Q7,249.0,225.0,8.0,6975000.0
Audi,automatic,full,German,black,0.0,2020.0,SUV,Q7,249.0,225.0,8.0,5490000.0
Audi,automatic,full,German,white,0.0,2020.0,SUV,Q7,249.0,225.0,8.0,5490000.0
Audi,automatic,full,German,gray,0.0,2020.0,SUV,Q7,249.0,225.0,8.0,5971500.0
Audi,automatic,full,German,black,0.0,2020.0,SUV,Q7,249.0,225.0,8.0,8100000.0
Audi,automatic,full,German,black,1725.0,2020.0,SUV,Q7,249.0,225.0,8.0,5799000.0
Audi,automatic,full,German,brown,0.0,2020.0,SUV,Q7,249.0,225.0,8.0,6549000.0
Audi,automatic,full,German,black,0.0,2020.0,SUV,Q7,249.0,225.0,8.0,5631580.0
Audi,automatic,full,German,black,5248.0,2020.0,SUV,Q7,249.0,225.0,8.0,6050000.0
Audi,automatic,full,German,blue,0.0,2020.0,SUV,Q7,249.0,225.0,8.0,6081582.0
Audi,automatic,full,German,black,0.0,2020.0,SUV,Q7,249.0,225.0,8.0,6591000.0
Audi,automatic,full,German,red,13400.0,2019.0,SUV,Q7,249.0,225.0,8.0,6200000.0
Audi,automatic,full,German,black,500.0,2020.0,SUV,Q7,249.0,225.0,8.0,6799000.0
Volkswagen,robot,full,German,white,0.0,2020.0,Minivan,Multivan,199.0,198.0,7.5,4973000.0
Volkswagen,robot,full,German,blue,0.0,2020.0,Minivan,Multivan,150.0,179.0,7.7,4742300.0
Volkswagen,robot,full,German,red,69.0,2020.0,Minivan,Multivan,199.0,198.0,7.5,5325000.0
Volkswagen,robot,full,German,blue,0.0,2020.0,Minivan,Multivan,150.0,179.0,7.7,4651800.0
Volkswagen,robot,full,German,black,0.0,2020.0,Minivan,Multivan,150.0,179.0,7.7,5284000.0
Volkswagen,robot,full,German,silver,0.0,2020.0,Minivan,Multivan,150.0,179.0,7.7,4403400.0
Volkswagen,mechanics,front,German,gray,0.0,2020.0,Minivan,Multivan,150.0,183.0,6.8,3707700.0
Volkswagen,robot,full,German,black,0.0,2020.0,Minivan,Multivan,150.0,179.0,7.7,5444600.0
Volkswagen,robot,full,German,white,0.0,2020.0,Minivan,Multivan,150.0,179.0,7.7,5335000.0
Volkswagen,robot,full,German,white,0.0,2020.0,Minivan,Multivan,150.0,179.0,7.7,5760000.0
Volkswagen,robot,full,German,black,0.0,2020.0,Minivan,Multivan,199.0,198.0,7.5,6233700.0
Volkswagen,robot,full,German,black,0.0,2020.0,Minivan,Multivan,199.0,198.0,7.5,6270900.0
Volkswagen,robot,full,German,red,0.0,2020.0,Minivan,Multivan,199.0,198.0,7.5,5944500.0
Volkswagen,robot,full,German,silver,0.0,2020.0,Minivan,Multivan,199.0,198.0,7.5,6491200.0
Volkswagen,robot,full,German,red,0.0,2020.0,Minivan,Multivan,199.0,198.0,7.5,6449200.0
Jaguar,automatic,full,UK,black,0.0,2020.0,SUV,F-Pace,249.0,217.0,7.4,5260000.0
Jaguar,automatic,full,UK,white,95344.0,2017.0,SUV,F-Pace,180.0,208.0,5.3,2415000.0
Jaguar,automatic,full,UK,black,102857.0,2016.0,SUV,F-Pace,180.0,208.0,5.3,2449000.0
Jaguar,automatic,full,UK,brown,7660.0,2016.0,SUV,F-Pace,180.0,208.0,5.3,3800000.0
Jaguar,automatic,full,UK,blue,85638.0,2016.0,SUV,F-Pace,300.0,241.0,6.0,2785000.0
Jaguar,automatic,full,UK,white,19500.0,2018.0,SUV,F-Pace,380.0,250.0,8.9,3770000.0
Jaguar,automatic,full,UK,green,0.0,2020.0,SUV,F-Pace,249.0,217.0,7.4,5533000.0
Jaguar,automatic,full,UK,white,45647.0,2017.0,SUV,F-Pace,180.0,208.0,5.3,2810000.0
Jaguar,automatic,full,UK,gray,0.0,2020.0,SUV,F-Pace,249.0,217.0,7.4,5315000.0
Jaguar,automatic,full,UK,blue,87440.0,2016.0,SUV,F-Pace,380.0,250.0,8.9,2699000.0
Jaguar,automatic,full,UK,black,63353.0,2016.0,SUV,F-Pace,180.0,208.0,5.3,2659000.0
Jaguar,automatic,full,UK,white,30300.0,2018.0,SUV,F-Pace,180.0,208.0,5.3,3400000.0
Jaguar,automatic,full,UK,black,12774.0,2019.0,SUV,F-Pace,249.0,217.0,7.4,3871000.0
Jaguar,automatic,full,UK,silver,31281.0,2016.0,SUV,F-Pace,300.0,241.0,6.0,3399000.0
Jaguar,automatic,full,UK,gray,0.0,2020.0,SUV,F-Pace,240.0,217.0,5.8,5466000.0
Volkswagen,robot,full,German,white,0.0,2020.0,Minivan,Caravelle,199.0,187.0,7.4,4364800.0
Volkswagen,robot,full,German,beige,0.0,2020.0,Minivan,Caravelle,199.0,187.0,7.4,3899200.0
Volkswagen,robot,full,German,gray,29256.0,2020.0,Minivan,Caravelle,150.0,169.0,7.4,3599000.0
Volkswagen,robot,full,German,black,0.0,2020.0,Minivan,Caravelle,199.0,187.0,7.4,4074600.0
Volkswagen,robot,full,German,black,0.0,2020.0,Minivan,Caravelle,150.0,169.0,7.4,3465500.0
Volkswagen,robot,full,German,white,0.0,2020.0,Minivan,Caravelle,199.0,187.0,7.4,3881500.0
Volkswagen,robot,full,German,blue,0.0,2020.0,Minivan,Caravelle,199.0,187.0,7.4,4255700.0
Volkswagen,robot,full,German,white,0.0,2020.0,Minivan,Caravelle,199.0,187.0,7.4,4190000.0
Volkswagen,robot,full,German,brown,0.0,2020.0,Minivan,Caravelle,150.0,169.0,7.4,3970000.0
Volkswagen,robot,full,German,black,0.0,2020.0,Minivan,Caravelle,150.0,169.0,7.4,3695000.0
Volkswagen,robot,full,German,white,0.0,2020.0,Minivan,Caravelle,199.0,187.0,7.4,3658500.0
Volkswagen,robot,full,German,white,0.0,2020.0,Minivan,Caravelle,150.0,169.0,7.4,4271600.0
Volkswagen,robot,full,German,brown,0.0,2020.0,Minivan,Caravelle,199.0,187.0,7.4,4816400.0
Volkswagen,robot,full,German,white,0.0,2020.0,Minivan,Caravelle,199.0,187.0,7.4,4137300.0
Nissan,variator,full,Japan,light Blue,7000.0,2019.0,SUV,Qashqai,144.0,182.0,7.3,1945000.0
Nissan,variator,front,Japan,white,0.0,2020.0,SUV,Qashqai,144.0,184.0,7.0,1804000.0
Nissan,variator,full,Japan,black,0.0,2020.0,SUV,Qashqai,144.0,182.0,7.3,1518000.0
Nissan,mechanics,front,Japan,black,0.0,2020.0,SUV,Qashqai,144.0,194.0,7.7,1263000.0
Nissan,variator,full,Japan,light Blue,0.0,2020.0,SUV,Qashqai,144.0,182.0,7.3,1827000.0
Nissan,variator,front,Japan,gray,20200.0,2019.0,SUV,Qashqai,144.0,184.0,7.0,1495000.0
Nissan,mechanics,front,Japan,light Blue,0.0,2020.0,SUV,Qashqai,144.0,194.0,7.7,1383000.0
Nissan,variator,full,Japan,white,6065.0,2020.0,SUV,Qashqai,144.0,182.0,7.3,1920000.0
Nissan,variator,full,Japan,silver,0.0,2020.0,SUV,Qashqai,144.0,182.0,7.3,1518000.0
Nissan,variator,front,Japan,white,13987.0,2020.0,SUV,Qashqai,144.0,184.0,7.0,1687000.0
Nissan,mechanics,front,Japan,black,0.0,2020.0,SUV,Qashqai,144.0,194.0,7.7,1402000.0
Nissan,mechanics,front,Japan,black,0.0,2020.0,SUV,Qashqai,115.0,185.0,6.2,1256000.0
Nissan,variator,full,Japan,light Blue,40404.0,2019.0,SUV,Qashqai,144.0,182.0,7.3,1850000.0
Nissan,variator,front,Japan,white,0.0,2020.0,SUV,Qashqai,144.0,184.0,7.0,1399000.0
Nissan,mechanics,front,Japan,white,0.0,2020.0,SUV,Qashqai,144.0,194.0,7.7,1441000.0
Nissan,mechanics,front,Japan,red,0.0,2020.0,SUV,Qashqai,144.0,194.0,7.7,1416360.0
Nissan,mechanics,front,Japan,black,0.0,2020.0,SUV,Qashqai,144.0,194.0,7.7,1375210.0
Nissan,variator,front,Japan,white,0.0,2020.0,SUV,Qashqai,144.0,184.0,7.0,1796000.0
Nissan,variator,front,Japan,gray,0.0,2020.0,SUV,Qashqai,144.0,184.0,7.0,1672000.0
Nissan,variator,front,Japan,gray,0.0,2020.0,SUV,Qashqai,144.0,184.0,7.0,1490000.0
Nissan,variator,front,Japan,silver,0.0,2020.0,SUV,Qashqai,144.0,184.0,7.0,1586710.0
Nissan,variator,front,Japan,black,0.0,2020.0,SUV,Qashqai,144.0,184.0,7.0,1440900.0
Audi,robot,front,German,blue,0.0,2020.0,Sedan,A4,150.0,225.0,6.0,2374400.0
Audi,robot,front,German,silver,0.0,2020.0,Sedan,A4,150.0,225.0,6.0,2350000.0
Audi,robot,front,German,white,0.0,2020.0,Sedan,A4,190.0,241.0,6.0,2620000.0
Audi,robot,front,German,black,0.0,2020.0,Sedan,A4,150.0,225.0,6.0,2490000.0
Audi,robot,front,German,black,0.0,2020.0,Sedan,A4,150.0,225.0,6.0,2350000.0
Audi,robot,front,German,blue,3900.0,2020.0,Sedan,A4,150.0,225.0,6.0,2820000.0
Audi,robot,front,German,black,0.0,2020.0,Sedan,A4,190.0,241.0,6.0,2565000.0
Audi,robot,front,German,blue,0.0,2020.0,Sedan,A4,190.0,241.0,6.0,2565000.0
Audi,robot,front,German,white,0.0,2020.0,Sedan,A4,190.0,241.0,6.0,2565000.0
Audi,robot,front,German,blue,0.0,2020.0,Sedan,A4,150.0,225.0,6.0,2675000.0
Audi,robot,front,German,blue,0.0,2020.0,Sedan,A4,150.0,225.0,6.0,2350000.0
Audi,robot,front,German,white,0.0,2020.0,Sedan,A4,150.0,225.0,6.0,2350000.0
Audi,robot,front,German,red,0.0,2020.0,Sedan,A4,190.0,241.0,6.0,2675000.0
Audi,robot,front,German,blue,0.0,2020.0,Sedan,A4,190.0,241.0,6.0,2885000.0
Audi,robot,front,German,black,0.0,2020.0,Sedan,A4,190.0,241.0,6.0,3156994.0
Audi,robot,front,German,gray,0.0,2020.0,Sedan,A4,190.0,241.0,6.0,2980000.0
Audi,robot,front,German,blue,0.0,2020.0,Sedan,A4,190.0,241.0,6.0,2675000.0
Audi,robot,front,German,white,0.0,2020.0,Sedan,A4,150.0,225.0,6.0,2730000.0
Nissan,variator,full,Japan,black,0.0,2020.0,SUV,X-Trail,144.0,180.0,7.5,2057000.0
Nissan,variator,full,Japan,black,21900.0,2019.0,SUV,X-Trail,144.0,180.0,7.5,1740000.0
Nissan,variator,full,Japan,green,0.0,2020.0,SUV,X-Trail,144.0,180.0,7.5,1881480.0
Nissan,variator,full,Japan,black,9500.0,2020.0,SUV,X-Trail,171.0,190.0,8.3,2230000.0
Nissan,variator,full,Japan,gray,0.0,2020.0,SUV,X-Trail,171.0,190.0,8.3,2041000.0
Nissan,mechanics,front,Japan,green,0.0,2020.0,SUV,X-Trail,144.0,183.0,8.3,1430000.0
Nissan,variator,full,Japan,green,0.0,2020.0,SUV,X-Trail,171.0,190.0,8.3,2031000.0
Nissan,variator,front,Japan,green,6900.0,2020.0,SUV,X-Trail,144.0,183.0,7.1,1995000.0
Nissan,variator,full,Japan,black,0.0,2020.0,SUV,X-Trail,171.0,190.0,8.3,2112000.0
Nissan,variator,full,Japan,white,0.0,2020.0,SUV,X-Trail,171.0,190.0,8.3,1950000.0
Nissan,variator,front,Japan,white,0.0,2020.0,SUV,X-Trail,144.0,183.0,7.1,1647000.0
Nissan,variator,full,Japan,black,5951.0,2018.0,SUV,X-Trail,144.0,180.0,7.5,1848000.0
Nissan,variator,full,Japan,blue,12665.0,2019.0,SUV,X-Trail,144.0,180.0,7.5,1990000.0
Nissan,mechanics,full,Japan,white,0.0,2020.0,SUV,X-Trail,130.0,186.0,5.3,1962000.0
Nissan,variator,full,Japan,white,0.0,2020.0,SUV,X-Trail,144.0,180.0,7.5,2103000.0
Nissan,variator,full,Japan,green,0.0,2020.0,SUV,X-Trail,144.0,180.0,7.5,2100000.0
Nissan,variator,front,Japan,white,0.0,2020.0,SUV,X-Trail,144.0,183.0,7.1,1586710.0
Nissan,variator,full,Japan,black,0.0,2020.0,SUV,X-Trail,144.0,180.0,7.5,1881480.0
Nissan,variator,full,Japan,blue,0.0,2020.0,SUV,X-Trail,171.0,190.0,8.3,2017000.0
Nissan,variator,full,Japan,silver,0.0,2020.0,SUV,X-Trail,144.0,180.0,7.5,1984000.0
Nissan,variator,full,Japan,green,0.0,2020.0,SUV,X-Trail,171.0,190.0,8.3,2230000.0
Nissan,variator,full,Japan,black,8000.0,2019.0,SUV,X-Trail,144.0,180.0,7.5,2000000.0
Nissan,variator,full,Japan,silver,0.0,2020.0,SUV,X-Trail,171.0,190.0,8.3,2172000.0
Nissan,variator,full,Japan,white,0.0,2020.0,SUV,X-Trail,171.0,190.0,8.3,1950500.0
Infiniti,variator,full,Japan,red,0.0,2020.0,SUV,QX60,262.0,190.0,10.7,3630000.0
Infiniti,variator,full,Japan,blue,0.0,2020.0,SUV,QX60,262.0,190.0,10.7,3575000.0
Infiniti,variator,full,Japan,gray,0.0,2020.0,SUV,QX60,262.0,190.0,10.7,3575000.0
Infiniti,variator,full,Japan,white,4096.0,2019.0,SUV,QX60,283.0,190.0,10.5,3239000.0
Infiniti,variator,full,Japan,black,25831.0,2018.0,SUV,QX60,262.0,190.0,10.7,2527000.0
Infiniti,variator,full,Japan,gray,0.0,2020.0,SUV,QX60,283.0,190.0,10.5,2962000.0
Infiniti,variator,full,Japan,black,0.0,2020.0,SUV,QX60,283.0,190.0,10.5,2962000.0
Infiniti,variator,full,Japan,white,85408.0,2017.0,SUV,QX60,262.0,190.0,10.7,2227000.0
Infiniti,variator,full,Japan,white,0.0,2020.0,SUV,QX60,283.0,190.0,10.5,2962000.0
Infiniti,variator,full,Japan,white,0.0,2020.0,SUV,QX60,283.0,190.0,10.5,3293000.0
Infiniti,variator,full,Japan,silver,0.0,2020.0,SUV,QX60,283.0,190.0,10.5,2963000.0
Infiniti,variator,full,Japan,black,0.0,2020.0,SUV,QX60,283.0,190.0,10.5,2963000.0
Infiniti,variator,full,Japan,blue,24000.0,2018.0,SUV,QX60,262.0,190.0,10.7,2800000.0
Infiniti,variator,full,Japan,white,0.0,2020.0,SUV,QX60,283.0,190.0,10.5,2963000.0
Infiniti,variator,full,Japan,silver,62300.0,2018.0,SUV,QX60,262.0,190.0,10.7,2760000.0
Infiniti,variator,full,Japan,white,12322.0,2019.0,SUV,QX50,249.0,220.0,8.6,3150000.0
Infiniti,variator,full,Japan,black,10900.0,2019.0,SUV,QX50,249.0,220.0,8.6,3300000.0
Infiniti,variator,full,Japan,black,0.0,2020.0,SUV,QX50,249.0,220.0,8.6,3500000.0
Infiniti,variator,full,Japan,black,0.0,2020.0,SUV,QX50,249.0,220.0,8.6,3995000.0
Infiniti,variator,full,Japan,white,30210.0,2018.0,SUV,QX50,249.0,220.0,8.6,2899000.0
Infiniti,variator,full,Japan,black,0.0,2020.0,SUV,QX50,249.0,220.0,8.6,4040000.0
Infiniti,variator,full,Japan,red,0.0,2020.0,SUV,QX50,249.0,220.0,8.6,4015000.0
Infiniti,variator,full,Japan,blue,26500.0,2018.0,SUV,QX50,249.0,220.0,8.6,2497000.0
Infiniti,variator,full,Japan,black,0.0,2020.0,SUV,QX50,249.0,220.0,8.6,3258000.0
Infiniti,variator,full,Japan,silver,0.0,2020.0,SUV,QX50,249.0,220.0,8.6,3258000.0
Infiniti,variator,full,Japan,white,33500.0,2018.0,SUV,QX50,249.0,220.0,8.6,2785000.0
Infiniti,variator,full,Japan,black,0.0,2020.0,SUV,QX50,249.0,220.0,8.6,3450000.0
Infiniti,variator,full,Japan,silver,0.0,2020.0,SUV,QX50,249.0,220.0,8.6,3274000.0
Skoda,robot,full,Czech Republic,green,0.0,2020.0,SUV,Karoq,150.0,193.0,0.0,1563500.0
Skoda,robot,full,Czech Republic,black,0.0,2020.0,SUV,Karoq,150.0,193.0,0.0,1732956.0
Skoda,robot,full,Czech Republic,beige,0.0,2020.0,SUV,Karoq,150.0,193.0,0.0,2062800.0
Skoda,automatic,front,Czech Republic,white,2100.0,2020.0,SUV,Karoq,150.0,199.0,6.3,1520000.0
Skoda,automatic,front,Czech Republic,white,0.0,2020.0,SUV,Karoq,150.0,199.0,6.3,1516500.0
Skoda,automatic,front,Czech Republic,blue,70.0,2020.0,SUV,Karoq,150.0,199.0,6.3,2050000.0
Skoda,robot,full,Czech Republic,blue,0.0,2020.0,SUV,Karoq,150.0,193.0,0.0,2040200.0
Skoda,automatic,front,Czech Republic,white,0.0,2020.0,SUV,Karoq,150.0,199.0,6.3,1498200.0
Skoda,robot,full,Czech Republic,blue,0.0,2020.0,SUV,Karoq,150.0,193.0,0.0,1824000.0
Skoda,robot,full,Czech Republic,gray,0.0,2020.0,SUV,Karoq,150.0,193.0,0.0,1626500.0
Skoda,robot,full,Czech Republic,gray,0.0,2020.0,SUV,Karoq,150.0,193.0,0.0,1703950.0
Skoda,automatic,front,Czech Republic,silver,0.0,2020.0,SUV,Karoq,150.0,199.0,6.3,1833200.0
Skoda,automatic,front,Czech Republic,green,0.0,2020.0,SUV,Karoq,150.0,199.0,6.3,1833200.0
Skoda,automatic,front,Czech Republic,blue,0.0,2020.0,SUV,Karoq,150.0,199.0,6.3,1759400.0
Skoda,automatic,front,Czech Republic,gray,0.0,2020.0,SUV,Karoq,150.0,199.0,6.3,1732600.0
Haval,robot,full,China,black,0.0,2020.0,SUV,F7,190.0,195.0,8.8,1810000.0
Haval,robot,full,China,blue,0.0,2020.0,SUV,F7,190.0,195.0,8.8,1859000.0
