mark;Model;Mileage;Year;Car_class;Maximum_power;Drive_unit;Box;Boost_type;Volume;Torque;Maximum_speed;Speed_to_100;Consumption;Price
Mercedes-Benz;GLC;0.0;2020.0;J;194.0;full;automatic;turbocharging;2.0;400.0;215.0;7.9;5.4;3278420.0
Mercedes-Benz;GLC;0.0;2020.0;J;245.0;full;automatic;turbocharging;2.0;500.0;231.0;6.5;5.9;4096215.0
Mercedes-Benz;GLC;2580.0;2020.0;J;249.0;full;automatic;turbocharging;2.0;370.0;240.0;6.2;7.4;4029000.0
Mercedes-Benz;GLC;0.0;2020.0;J;194.0;full;automatic;turbocharging;2.0;400.0;215.0;7.9;5.4;4424630.0
Mercedes-Benz;GLC;0.0;2020.0;J;194.0;full;automatic;turbocharging;2.0;400.0;215.0;7.9;5.4;4311800.0
Mercedes-Benz;GLC;15943.0;2019.0;J;194.0;full;automatic;turbocharging;2.0;400.0;215.0;7.9;5.4;3399000.0
Mercedes-Benz;GLC;0.0;2020.0;J;194.0;full;automatic;turbocharging;2.0;400.0;215.0;7.9;5.4;3675120.0
Mercedes-Benz;GLC;30013.0;2019.0;J;194.0;full;automatic;turbocharging;2.0;400.0;215.0;7.9;5.4;3299000.0
Mercedes-Benz;GLC;0.0;2020.0;J;194.0;full;automatic;turbocharging;2.0;400.0;215.0;7.9;5.4;3660260.0
Mercedes-Benz;GLC;34800.0;2019.0;J;194.0;full;automatic;turbocharging;2.0;400.0;215.0;7.9;5.4;3399000.0
Mercedes-Benz;GLC;0.0;2020.0;J;249.0;full;automatic;turbocharging;2.0;370.0;240.0;6.2;7.4;4976800.0
Mercedes-Benz;GLC;0.0;2020.0;J;194.0;full;automatic;turbocharging;2.0;400.0;215.0;7.9;5.4;3717224.0
Mercedes-Benz;GLE;0.0;2020.0;J;245.0;full;automatic;turbocharging;2.0;500.0;225.0;7.2;6.4;5996000.0
Mercedes-Benz;GLE;2800.0;2020.0;J;245.0;full;automatic;turbocharging;2.0;500.0;225.0;7.2;6.4;6035000.0
Mercedes-Benz;GLE;0.0;2020.0;J;330.0;full;automatic;turbocharging;2.9;700.0;245.0;5.7;7.5;6676685.0
Mercedes-Benz;GLE;21000.0;2019.0;J;367.0;full;automatic;turbocharging;3.0;500.0;250.0;5.7;9.4;5850000.0
Mercedes-Benz;GLE;0.0;2020.0;J;330.0;full;automatic;turbocharging;2.9;700.0;245.0;5.7;7.5;7190000.0
Mercedes-Benz;GLE;12130.0;2019.0;J;245.0;full;automatic;turbocharging;2.0;500.0;225.0;7.2;6.4;5447000.0
Mercedes-Benz;GLE;0.0;2020.0;J;330.0;full;automatic;turbocharging;2.9;700.0;245.0;5.7;7.5;7667040.0
Mercedes-Benz;GLE;0.0;2020.0;J;367.0;full;automatic;turbocharging;3.0;500.0;250.0;5.7;9.4;6502000.0
Mercedes-Benz;GLE;0.0;2020.0;J;330.0;full;automatic;turbocharging;2.9;700.0;245.0;5.7;7.5;7030900.0
Mercedes-Benz;GLE;17384.0;2019.0;J;330.0;full;automatic;turbocharging;2.9;700.0;245.0;5.7;7.5;5778000.0
Mercedes-Benz;GLE;0.0;2020.0;J;367.0;full;automatic;turbocharging;3.0;500.0;250.0;5.7;9.4;6644700.0
Mercedes-Benz;GLE;43455.0;2019.0;J;330.0;full;automatic;turbocharging;2.9;700.0;245.0;5.7;7.5;5399000.0
Mercedes-Benz;GLE;0.0;2020.0;J;245.0;full;automatic;turbocharging;2.0;500.0;225.0;7.2;6.4;5350000.0
Mercedes-Benz;GLE Coupe;0.0;2020.0;J;249.0;full;automatic;turbocharging;2.9;600.0;226.0;6.6;8.0;7925800.0
Mercedes-Benz;GLE Coupe;0.0;2020.0;J;249.0;full;automatic;turbocharging;2.9;600.0;226.0;6.6;8.0;7450000.0
Mercedes-Benz;GLE Coupe;9.0;2020.0;J;330.0;full;automatic;turbocharging;2.9;700.0;240.0;5.7;8.0;6997000.0
Mercedes-Benz;GLE Coupe;0.0;2020.0;J;330.0;full;automatic;turbocharging;2.9;700.0;240.0;5.7;8.0;8772960.0
Mercedes-Benz;GLE Coupe;0.0;2020.0;J;330.0;full;automatic;turbocharging;2.9;700.0;240.0;5.7;8.0;8099000.0
Mercedes-Benz;GLE Coupe;1280.0;2020.0;J;249.0;full;automatic;turbocharging;2.9;600.0;226.0;6.6;8.0;8097000.0
Mercedes-Benz;GLE Coupe;0.0;2020.0;J;249.0;full;automatic;turbocharging;2.9;600.0;226.0;6.6;8.0;8128200.0
Mercedes-Benz;GLE Coupe;1900.0;2020.0;J;249.0;full;automatic;turbocharging;2.9;600.0;226.0;6.6;8.0;7450000.0
Mercedes-Benz;GLE Coupe;0.0;2020.0;J;367.0;full;automatic;turbocharging;3.0;500.0;250.0;5.7;9.0;8050000.0
Mercedes-Benz;GLE Coupe;17.0;2020.0;J;249.0;full;automatic;turbocharging;2.9;600.0;226.0;6.6;8.0;7400000.0
Mercedes-Benz;GLE Coupe;0.0;2020.0;J;249.0;full;automatic;turbocharging;2.9;600.0;226.0;6.6;8.0;8158200.0
Mercedes-Benz;GLE Coupe;0.0;2020.0;J;249.0;full;automatic;turbocharging;2.9;600.0;226.0;6.6;8.0;8517000.0
Mercedes-Benz;G-Class AMG;14200.0;2019.0;J;585.0;full;automatic;turbocharging;4.0;850.0;220.0;4.5;13.3;18350000.0
Mercedes-Benz;G-Class AMG;0.0;2020.0;J;585.0;full;automatic;turbocharging;4.0;850.0;220.0;4.5;13.3;19300000.0
Mercedes-Benz;G-Class AMG;0.0;2020.0;J;585.0;full;automatic;turbocharging;4.0;850.0;220.0;4.5;13.3;21328900.0
Mercedes-Benz;G-Class AMG;8000.0;2020.0;J;585.0;full;automatic;turbocharging;4.0;850.0;220.0;4.5;13.3;20000000.0
Mercedes-Benz;G-Class AMG;0.0;2020.0;J;585.0;full;automatic;turbocharging;4.0;850.0;220.0;4.5;13.3;28300000.0
Mercedes-Benz;G-Class AMG;11100.0;2020.0;J;585.0;full;automatic;turbocharging;4.0;850.0;220.0;4.5;13.3;16900000.0
Mercedes-Benz;G-Class AMG;0.0;2020.0;J;585.0;full;automatic;turbocharging;4.0;850.0;220.0;4.5;13.3;28900000.0
Mercedes-Benz;G-Class AMG;12735.0;2018.0;J;585.0;full;automatic;turbocharging;4.0;850.0;220.0;4.5;13.3;17400000.0
Mercedes-Benz;G-Class AMG;0.0;2020.0;J;585.0;full;automatic;turbocharging;4.0;850.0;220.0;4.5;13.3;22345600.0
Mercedes-Benz;G-Class AMG;21.0;2020.0;J;585.0;full;automatic;turbocharging;4.0;850.0;220.0;4.5;13.3;18300000.0
Mercedes-Benz;G-Class AMG;0.0;2020.0;J;585.0;full;automatic;turbocharging;4.0;850.0;220.0;4.5;13.3;23777872.0
Mercedes-Benz;G-Class AMG;0.0;2020.0;J;585.0;full;automatic;turbocharging;4.0;850.0;220.0;4.5;13.3;22470800.0
Mercedes-Benz;G-Class AMG;28000.0;2019.0;J;585.0;full;automatic;turbocharging;4.0;850.0;220.0;4.5;13.3;17300000.0
Mitsubishi;Outlander;0.0;2020.0;J;146.0;front;variator;no;2.0;196.0;193.0;11.4;7.5;1584000.0
Mitsubishi;Outlander;0.0;2020.0;J;146.0;full;variator;no;2.0;196.0;188.0;12.0;7.7;1519000.0
Mitsubishi;Outlander;0.0;2020.0;J;146.0;front;variator;no;2.0;196.0;193.0;11.4;7.5;1830000.0
Mitsubishi;Outlander;43538.0;2018.0;J;146.0;front;variator;no;2.0;196.0;193.0;11.4;7.5;1500000.0
Mitsubishi;Outlander;0.0;2020.0;J;146.0;front;variator;no;2.0;196.0;193.0;11.4;7.5;1206000.0
Mitsubishi;Outlander;0.0;2020.0;J;146.0;front;variator;no;2.0;196.0;193.0;11.4;7.5;1205800.0
Mitsubishi;Outlander;35049.0;2018.0;J;167.0;full;variator;no;2.4;222.0;198.0;10.5;7.8;1749000.0
Mitsubishi;Outlander;0.0;2020.0;J;146.0;front;variator;no;2.0;196.0;193.0;11.4;7.5;1205800.0
Mitsubishi;Outlander;0.0;2020.0;J;146.0;front;variator;no;2.0;196.0;193.0;11.4;7.5;1205800.0
Mitsubishi;Outlander;12123.0;2019.0;J;146.0;full;variator;no;2.0;196.0;188.0;12.0;7.7;1976000.0
Mitsubishi;Outlander;0.0;2020.0;J;146.0;full;variator;no;2.0;196.0;188.0;12.0;7.7;1655500.0
Mitsubishi;Outlander;0.0;2020.0;J;146.0;full;variator;no;2.0;196.0;188.0;12.0;7.7;1610500.0
Mitsubishi;Outlander;0.0;2020.0;J;167.0;full;variator;no;2.4;222.0;198.0;10.5;7.8;1950000.0
Mitsubishi;Outlander;0.0;2020.0;J;146.0;front;variator;no;2.0;196.0;193.0;11.4;7.5;1216500.0
Mitsubishi;Outlander;15678.0;2018.0;J;146.0;full;variator;no;2.0;196.0;188.0;12.0;7.7;1895000.0
Mitsubishi;Outlander;0.0;2020.0;J;146.0;front;variator;no;2.0;196.0;193.0;11.4;7.5;1200000.0
Mitsubishi;Outlander;0.0;2020.0;J;146.0;full;variator;no;2.0;196.0;188.0;12.0;7.7;1410000.0
Mitsubishi;Outlander;0.0;2020.0;J;146.0;front;variator;no;2.0;196.0;193.0;11.4;7.5;1205800.0
Mitsubishi;Outlander;0.0;2020.0;J;146.0;front;variator;no;2.0;196.0;193.0;11.4;7.5;1209000.0
Mitsubishi;Outlander;0.0;2020.0;J;146.0;front;variator;no;2.0;196.0;193.0;11.4;7.5;1715000.0
Mitsubishi;Outlander;0.0;2020.0;J;146.0;front;variator;no;2.0;196.0;193.0;11.4;7.5;1230000.0
Audi;Q7;0.0;2020.0;J;249.0;full;automatic;turbocharging;3.0;600.0;225.0;6.9;8.0;6199000.0
Audi;Q7;0.0;2020.0;J;249.0;full;automatic;turbocharging;3.0;600.0;225.0;6.9;8.0;5490000.0
Audi;Q7;0.0;2020.0;J;249.0;full;automatic;turbocharging;3.0;600.0;225.0;6.9;8.0;5490000.0
Audi;Q7;13000.0;2019.0;J;249.0;full;automatic;turbocharging;3.0;600.0;225.0;6.9;8.0;6975000.0
Audi;Q7;0.0;2020.0;J;249.0;full;automatic;turbocharging;3.0;600.0;225.0;6.9;8.0;5490000.0
Audi;Q7;0.0;2020.0;J;249.0;full;automatic;turbocharging;3.0;600.0;225.0;6.9;8.0;5490000.0
Audi;Q7;0.0;2020.0;J;249.0;full;automatic;turbocharging;3.0;600.0;225.0;6.9;8.0;5971500.0
Audi;Q7;0.0;2020.0;J;249.0;full;automatic;turbocharging;3.0;600.0;225.0;6.9;8.0;8100000.0
Audi;Q7;1725.0;2020.0;J;249.0;full;automatic;turbocharging;3.0;600.0;225.0;6.9;8.0;5799000.0
Audi;Q7;0.0;2020.0;J;249.0;full;automatic;turbocharging;3.0;600.0;225.0;6.9;8.0;6549000.0
Audi;Q7;0.0;2020.0;J;249.0;full;automatic;turbocharging;3.0;600.0;225.0;6.9;8.0;5631580.0
Audi;Q7;5248.0;2020.0;J;249.0;full;automatic;turbocharging;3.0;600.0;225.0;6.9;8.0;6050000.0
Audi;Q7;0.0;2020.0;J;249.0;full;automatic;turbocharging;3.0;600.0;225.0;6.9;8.0;6081582.0
Audi;Q7;0.0;2020.0;J;249.0;full;automatic;turbocharging;3.0;600.0;225.0;6.9;8.0;6591000.0
Audi;Q7;13400.0;2019.0;J;249.0;full;automatic;turbocharging;3.0;600.0;225.0;6.9;8.0;6200000.0
Audi;Q7;500.0;2020.0;J;249.0;full;automatic;turbocharging;3.0;600.0;225.0;6.9;8.0;6799000.0
Volkswagen;Multivan;0.0;2020.0;M;199.0;full;robot;turbocharging;2.0;450.0;198.0;10.3;7.5;4973000.0
Volkswagen;Multivan;0.0;2020.0;M;150.0;full;robot;turbocharging;2.0;340.0;179.0;13.5;7.7;4742300.0
Volkswagen;Multivan;69.0;2020.0;M;199.0;full;robot;turbocharging;2.0;450.0;198.0;10.3;7.5;5325000.0
Volkswagen;Multivan;0.0;2020.0;M;150.0;full;robot;turbocharging;2.0;340.0;179.0;13.5;7.7;4651800.0
Volkswagen;Multivan;0.0;2020.0;M;150.0;full;robot;turbocharging;2.0;340.0;179.0;13.5;7.7;5284000.0
Volkswagen;Multivan;0.0;2020.0;M;150.0;full;robot;turbocharging;2.0;340.0;179.0;13.5;7.7;4403400.0
Volkswagen;Multivan;0.0;2020.0;M;150.0;front;mechanics;turbocharging;2.0;340.0;183.0;12.9;6.8;3707700.0
Volkswagen;Multivan;0.0;2020.0;M;150.0;full;robot;turbocharging;2.0;340.0;179.0;13.5;7.7;5444600.0
Volkswagen;Multivan;0.0;2020.0;M;150.0;full;robot;turbocharging;2.0;340.0;179.0;13.5;7.7;5335000.0
Volkswagen;Multivan;0.0;2020.0;M;150.0;full;robot;turbocharging;2.0;340.0;179.0;13.5;7.7;5760000.0
Volkswagen;Multivan;0.0;2020.0;M;199.0;full;robot;turbocharging;2.0;450.0;198.0;10.3;7.5;6233700.0
Volkswagen;Multivan;0.0;2020.0;M;199.0;full;robot;turbocharging;2.0;450.0;198.0;10.3;7.5;6270900.0
Volkswagen;Multivan;0.0;2020.0;M;199.0;full;robot;turbocharging;2.0;450.0;198.0;10.3;7.5;5944500.0
Volkswagen;Multivan;0.0;2020.0;M;199.0;full;robot;turbocharging;2.0;450.0;198.0;10.3;7.5;6491200.0
Volkswagen;Multivan;0.0;2020.0;M;199.0;full;robot;turbocharging;2.0;450.0;198.0;10.3;7.5;6449200.0
Jaguar;F-Pace;0.0;2020.0;J;249.0;full;automatic;turbocharging;2.0;365.0;217.0;6.8;7.4;5260000.0
Jaguar;F-Pace;95344.0;2017.0;J;180.0;full;automatic;turbocharging;2.0;430.0;208.0;8.7;5.3;2415000.0
Jaguar;F-Pace;102857.0;2016.0;J;180.0;full;automatic;turbocharging;2.0;430.0;208.0;8.7;5.3;2449000.0
Jaguar;F-Pace;7660.0;2016.0;J;180.0;full;automatic;turbocharging;2.0;430.0;208.0;8.7;5.3;3800000.0
Jaguar;F-Pace;85638.0;2016.0;J;300.0;full;automatic;turbocharging;3.0;700.0;241.0;6.2;6.0;2785000.0
Jaguar;F-Pace;19500.0;2018.0;J;380.0;full;automatic;turbocharging;3.0;450.0;250.0;5.5;8.9;3770000.0
Jaguar;F-Pace;0.0;2020.0;J;249.0;full;automatic;turbocharging;2.0;365.0;217.0;6.8;7.4;5533000.0
Jaguar;F-Pace;45647.0;2017.0;J;180.0;full;automatic;turbocharging;2.0;430.0;208.0;8.7;5.3;2810000.0
Jaguar;F-Pace;0.0;2020.0;J;249.0;full;automatic;turbocharging;2.0;365.0;217.0;6.8;7.4;5315000.0
Jaguar;F-Pace;87440.0;2016.0;J;380.0;full;automatic;turbocharging;3.0;450.0;250.0;5.5;8.9;2699000.0
Jaguar;F-Pace;63353.0;2016.0;J;180.0;full;automatic;turbocharging;2.0;430.0;208.0;8.7;5.3;2659000.0
Jaguar;F-Pace;30300.0;2018.0;J;180.0;full;automatic;turbocharging;2.0;430.0;208.0;8.7;5.3;3400000.0
Jaguar;F-Pace;12774.0;2019.0;J;249.0;full;automatic;turbocharging;2.0;365.0;217.0;6.8;7.4;3871000.0
Jaguar;F-Pace;31281.0;2016.0;J;300.0;full;automatic;turbocharging;3.0;700.0;241.0;6.2;6.0;3399000.0
Jaguar;F-Pace;0.0;2020.0;J;240.0;full;automatic;turbocharging;2.0;500.0;217.0;7.2;5.8;5466000.0
Volkswagen;Caravelle;0.0;2020.0;M;199.0;full;robot;turbocharging;2.0;450.0;187.0;10.2;7.4;4364800.0
Volkswagen;Caravelle;0.0;2020.0;M;199.0;full;robot;turbocharging;2.0;450.0;187.0;10.2;7.4;3899200.0
Volkswagen;Caravelle;29256.0;2020.0;M;150.0;full;robot;turbocharging;2.0;340.0;169.0;13.0;7.4;3599000.0
Volkswagen;Caravelle;0.0;2020.0;M;199.0;full;robot;turbocharging;2.0;450.0;187.0;10.2;7.4;4074600.0
Volkswagen;Caravelle;0.0;2020.0;M;150.0;full;robot;turbocharging;2.0;340.0;169.0;13.0;7.4;3465500.0
Volkswagen;Caravelle;0.0;2020.0;M;199.0;full;robot;turbocharging;2.0;450.0;187.0;10.2;7.4;3881500.0
Volkswagen;Caravelle;0.0;2020.0;M;199.0;full;robot;turbocharging;2.0;450.0;187.0;10.2;7.4;4255700.0
Volkswagen;Caravelle;0.0;2020.0;M;199.0;full;robot;turbocharging;2.0;450.0;187.0;10.2;7.4;4190000.0
Volkswagen;Caravelle;0.0;2020.0;M;150.0;full;robot;turbocharging;2.0;340.0;169.0;13.0;7.4;3970000.0
Volkswagen;Caravelle;0.0;2020.0;M;150.0;full;robot;turbocharging;2.0;340.0;169.0;13.0;7.4;3695000.0
Volkswagen;Caravelle;0.0;2020.0;M;199.0;full;robot;turbocharging;2.0;450.0;187.0;10.2;7.4;3658500.0
Volkswagen;Caravelle;0.0;2020.0;M;150.0;full;robot;turbocharging;2.0;340.0;169.0;13.0;7.4;4271600.0
Volkswagen;Caravelle;0.0;2020.0;M;199.0;full;robot;turbocharging;2.0;450.0;187.0;10.2;7.4;4816400.0
Volkswagen;Caravelle;0.0;2020.0;M;199.0;full;robot;turbocharging;2.0;450.0;187.0;10.2;7.4;4137300.0
Nissan;Qashqai;7000.0;2019.0;J;144.0;full;variator;no;2.0;200.0;182.0;10.5;7.3;1945000.0
Nissan;Qashqai;0.0;2020.0;J;144.0;front;variator;no;2.0;200.0;184.0;10.1;7.0;1804000.0
Nissan;Qashqai;0.0;2020.0;J;144.0;full;variator;no;2.0;200.0;182.0;10.5;7.3;1518000.0
Nissan;Qashqai;0.0;2020.0;J;144.0;front;mechanics;no;2.0;200.0;194.0;9.9;7.7;1263000.0
Nissan;Qashqai;0.0;2020.0;J;144.0;full;variator;no;2.0;200.0;182.0;10.5;7.3;1827000.0
Nissan;Qashqai;20200.0;2019.0;J;144.0;front;variator;no;2.0;200.0;184.0;10.1;7.0;1495000.0
Nissan;Qashqai;0.0;2020.0;J;144.0;front;mechanics;no;2.0;200.0;194.0;9.9;7.7;1383000.0
Nissan;Qashqai;6065.0;2020.0;J;144.0;full;variator;no;2.0;200.0;182.0;10.5;7.3;1920000.0
Nissan;Qashqai;0.0;2020.0;J;144.0;full;variator;no;2.0;200.0;182.0;10.5;7.3;1518000.0
Nissan;Qashqai;13987.0;2020.0;J;144.0;front;variator;no;2.0;200.0;184.0;10.1;7.0;1687000.0
Nissan;Qashqai;0.0;2020.0;J;144.0;front;mechanics;no;2.0;200.0;194.0;9.9;7.7;1402000.0
Nissan;Qashqai;0.0;2020.0;J;115.0;front;mechanics;turbocharging;1.2;190.0;185.0;10.9;6.2;1256000.0
Nissan;Qashqai;40404.0;2019.0;J;144.0;full;variator;no;2.0;200.0;182.0;10.5;7.3;1850000.0
Nissan;Qashqai;0.0;2020.0;J;144.0;front;variator;no;2.0;200.0;184.0;10.1;7.0;1399000.0
Nissan;Qashqai;0.0;2020.0;J;144.0;front;mechanics;no;2.0;200.0;194.0;9.9;7.7;1441000.0
Nissan;Qashqai;0.0;2020.0;J;144.0;front;mechanics;no;2.0;200.0;194.0;9.9;7.7;1416360.0
Nissan;Qashqai;0.0;2020.0;J;144.0;front;mechanics;no;2.0;200.0;194.0;9.9;7.7;1375210.0
Nissan;Qashqai;0.0;2020.0;J;144.0;front;variator;no;2.0;200.0;184.0;10.1;7.0;1796000.0
Nissan;Qashqai;0.0;2020.0;J;144.0;front;variator;no;2.0;200.0;184.0;10.1;7.0;1672000.0
Nissan;Qashqai;0.0;2020.0;J;144.0;front;variator;no;2.0;200.0;184.0;10.1;7.0;1490000.0
Nissan;Qashqai;0.0;2020.0;J;144.0;front;variator;no;2.0;200.0;184.0;10.1;7.0;1586710.0
Nissan;Qashqai;0.0;2020.0;J;144.0;front;variator;no;2.0;200.0;184.0;10.1;7.0;1440900.0
Audi;A4;0.0;2020.0;D;150.0;front;robot;turbocharging;2.0;270.0;225.0;8.9;6.0;2374400.0
Audi;A4;0.0;2020.0;D;150.0;front;robot;turbocharging;2.0;270.0;225.0;8.9;6.0;2350000.0
Audi;A4;0.0;2020.0;D;190.0;front;robot;turbocharging;2.0;320.0;241.0;7.3;6.0;2620000.0
Audi;A4;0.0;2020.0;D;150.0;front;robot;turbocharging;2.0;270.0;225.0;8.9;6.0;2490000.0
Audi;A4;0.0;2020.0;D;150.0;front;robot;turbocharging;2.0;270.0;225.0;8.9;6.0;2350000.0
Audi;A4;3900.0;2020.0;D;150.0;front;robot;turbocharging;2.0;270.0;225.0;8.9;6.0;2820000.0
Audi;A4;0.0;2020.0;D;190.0;front;robot;turbocharging;2.0;320.0;241.0;7.3;6.0;2565000.0
Audi;A4;0.0;2020.0;D;190.0;front;robot;turbocharging;2.0;320.0;241.0;7.3;6.0;2565000.0
Audi;A4;0.0;2020.0;D;190.0;front;robot;turbocharging;2.0;320.0;241.0;7.3;6.0;2565000.0
Audi;A4;0.0;2020.0;D;150.0;front;robot;turbocharging;2.0;270.0;225.0;8.9;6.0;2675000.0
Audi;A4;0.0;2020.0;D;150.0;front;robot;turbocharging;2.0;270.0;225.0;8.9;6.0;2350000.0
Audi;A4;0.0;2020.0;D;150.0;front;robot;turbocharging;2.0;270.0;225.0;8.9;6.0;2350000.0
Audi;A4;0.0;2020.0;D;190.0;front;robot;turbocharging;2.0;320.0;241.0;7.3;6.0;2675000.0
Audi;A4;0.0;2020.0;D;190.0;front;robot;turbocharging;2.0;320.0;241.0;7.3;6.0;2885000.0
Audi;A4;0.0;2020.0;D;190.0;front;robot;turbocharging;2.0;320.0;241.0;7.3;6.0;3156994.0
Audi;A4;0.0;2020.0;D;190.0;front;robot;turbocharging;2.0;320.0;241.0;7.3;6.0;2980000.0
Audi;A4;0.0;2020.0;D;190.0;front;robot;turbocharging;2.0;320.0;241.0;7.3;6.0;2675000.0
Audi;A4;0.0;2020.0;D;150.0;front;robot;turbocharging;2.0;270.0;225.0;8.9;6.0;2730000.0
Nissan;X-Trail;0.0;2020.0;J;144.0;full;variator;no;2.0;200.0;180.0;12.1;7.5;2057000.0
Nissan;X-Trail;21900.0;2019.0;J;144.0;full;variator;no;2.0;200.0;180.0;12.1;7.5;1740000.0
Nissan;X-Trail;0.0;2020.0;J;144.0;full;variator;no;2.0;200.0;180.0;12.1;7.5;1881480.0
Nissan;X-Trail;9500.0;2020.0;J;171.0;full;variator;no;2.5;233.0;190.0;10.5;8.3;2230000.0
Nissan;X-Trail;0.0;2020.0;J;171.0;full;variator;no;2.5;233.0;190.0;10.5;8.3;2041000.0
Nissan;X-Trail;0.0;2020.0;J;144.0;front;mechanics;no;2.0;200.0;183.0;11.1;8.3;1430000.0
Nissan;X-Trail;0.0;2020.0;J;171.0;full;variator;no;2.5;233.0;190.0;10.5;8.3;2031000.0
Nissan;X-Trail;6900.0;2020.0;J;144.0;front;variator;no;2.0;200.0;183.0;11.7;7.1;1995000.0
Nissan;X-Trail;0.0;2020.0;J;171.0;full;variator;no;2.5;233.0;190.0;10.5;8.3;2112000.0
Nissan;X-Trail;0.0;2020.0;J;171.0;full;variator;no;2.5;233.0;190.0;10.5;8.3;1950000.0
Nissan;X-Trail;0.0;2020.0;J;144.0;front;variator;no;2.0;200.0;183.0;11.7;7.1;1647000.0
Nissan;X-Trail;5951.0;2018.0;J;144.0;full;variator;no;2.0;200.0;180.0;12.1;7.5;1848000.0
Nissan;X-Trail;12665.0;2019.0;J;144.0;full;variator;no;2.0;200.0;180.0;12.1;7.5;1990000.0
Nissan;X-Trail;0.0;2020.0;J;130.0;full;mechanics;turbocharging;1.6;320.0;186.0;11.0;5.3;1962000.0
Nissan;X-Trail;0.0;2020.0;J;144.0;full;variator;no;2.0;200.0;180.0;12.1;7.5;2103000.0
Nissan;X-Trail;0.0;2020.0;J;144.0;full;variator;no;2.0;200.0;180.0;12.1;7.5;2100000.0
Nissan;X-Trail;0.0;2020.0;J;144.0;front;variator;no;2.0;200.0;183.0;11.7;7.1;1586710.0
Nissan;X-Trail;0.0;2020.0;J;144.0;full;variator;no;2.0;200.0;180.0;12.1;7.5;1881480.0
Nissan;X-Trail;0.0;2020.0;J;171.0;full;variator;no;2.5;233.0;190.0;10.5;8.3;2017000.0
Nissan;X-Trail;0.0;2020.0;J;144.0;full;variator;no;2.0;200.0;180.0;12.1;7.5;1984000.0
Nissan;X-Trail;0.0;2020.0;J;171.0;full;variator;no;2.5;233.0;190.0;10.5;8.3;2230000.0
Nissan;X-Trail;8000.0;2019.0;J;144.0;full;variator;no;2.0;200.0;180.0;12.1;7.5;2000000.0
Nissan;X-Trail;0.0;2020.0;J;171.0;full;variator;no;2.5;233.0;190.0;10.5;8.3;2172000.0
Nissan;X-Trail;0.0;2020.0;J;171.0;full;variator;no;2.5;233.0;190.0;10.5;8.3;1950500.0
Infiniti;QX60;0.0;2020.0;J;262.0;full;variator;no;3.5;334.0;190.0;8.4;10.7;3630000.0
Infiniti;QX60;0.0;2020.0;J;262.0;full;variator;no;3.5;334.0;190.0;8.4;10.7;3575000.0
Infiniti;QX60;0.0;2020.0;J;262.0;full;variator;no;3.5;334.0;190.0;8.4;10.7;3575000.0
Infiniti;QX60;4096.0;2019.0;J;283.0;full;variator;no;3.5;350.0;190.0;8.2;10.5;3239000.0
Infiniti;QX60;25831.0;2018.0;J;262.0;full;variator;no;3.5;334.0;190.0;8.4;10.7;2527000.0
Infiniti;QX60;0.0;2020.0;J;283.0;full;variator;no;3.5;350.0;190.0;8.2;10.5;2962000.0
Infiniti;QX60;0.0;2020.0;J;283.0;full;variator;no;3.5;350.0;190.0;8.2;10.5;2962000.0
